source_id,internal_name,display_name_en,display_name_ar,description_en,description_ar,amount_minor,currency,category_path,category_section_id,image_url,published,is_available,sold_out,properties
6a3a919b594d5e08850ca2a8,sweet-tabaco-indonesia,Sweet Tabaco - INDONESIA,Sweet Tabaco - INDONESIA,,,4900,AED,New V60 Beans,69614b90e5ccb143a4cd02b2,https://media.finedinemenu.com/MawZBMZR_/c23da780-dd28-4f20-b17c-cbf6e430638c.jpeg,true,true,false,new
674cb4d1a17564e11321d374,cream-matcha,Cream Matcha,ماتشا فراب,,,4000,AED,Signature,674cb57582fe974dd29f2197,https://media.finedinemenu.com/MawZBMZR_/886aaead-c946-498b-a4ce-c7cee592fc97.jpeg,true,true,false,popular
692ddbdd2846a04a91510a96,rush-hour-berry-ice-tea,Rush Hour Berry Ice Tea,Rush Hour Berry Ice Tea,,,3500,AED,Fine Tea,674cb463f0cee26ce297a6c9,https://media.finedinemenu.com/MawZBMZR_/3e592cbc-57d9-48c5-9659-7cecf7f4081d.jpeg,true,true,false,new
6a6f955c3eda99a46831d1ba,green-matcha,Green Matcha,كلاسيك ماتشا,,,3500,AED,Matcha,6a6f955c3eda99a46831d193,https://media.finedinemenu.com/MawZBMZR_/d408a3de-dc0d-4622-92f7-f50ed0130489.jpeg,true,true,false,
695f99fbf72170a773914f2a,smoked-turkey-egg-toast,Smoked Turkey Egg Toast,Smoked Turkey Egg Toast,,,4000,AED,BreakFast & Brunch,67484e8d06a82d1000742a01,,true,true,false,new|signature
674c9fd8a17564e1131fe659,broccoli-cheese-soup,Broccoli Cheese Soup,Broccoli Cheese Soup,"A comforting soup featuring tender broccoli and a rich cheese blend, enhanced with a mix of fresh vegetables.","A comforting soup featuring tender broccoli and a rich cheese blend, enhanced with a mix of fresh vegetables.",2200,AED,Lunch & Dinner / Soup,674c9f73f0cee26ce295c3b5,https://media.finedinemenu.com/MawZBMZR_/61895721-8aef-450b-a7dd-c4759c4eae44.jpeg,true,true,false,
674ee264bbaeb5316234ffab,quinoa-beans-garden-salad,Quinoa beans Garden Salad,Quinoa beans Garden Salad,"A vibrant mix featuring tri-color quinoa, mango, pomegranate, and avocado, tossed with mixed beans, corn, and drizzled with ranch dressing for a healthy, flavorful salad.","A vibrant mix featuring tri-color quinoa, mango, pomegranate, and avocado, tossed with mixed beans, corn, and drizzled with ranch dressing for a healthy, flavorful salad.",4500,AED,Lunch & Dinner / Salad,674d5a20372f00d7a43b98ef,https://media.finedinemenu.com/MawZBMZR_/27e80033-7b58-4f8b-af8a-fd32cf6d44b8.jpeg,true,true,false,
674ca13c55bbefc1372f28a0,chicken-musakhan,Chicken Musakhan,Chicken Musakhan,,,4500,AED,Lunch & Dinner / Appetizer,674ca05e8be796a22d729feb,https://media.finedinemenu.com/MawZBMZR_/6f97f862-b84d-4b0f-b6c2-930eac10a0ab.jpeg,true,true,false,
674ca59e52f895a5b6f17a27,chicken-quesadilla,Chicken Quesadilla,Chicken Quesadilla,,,4900,AED,Lunch & Dinner / For The Table,674ca5848be796a22d732881,https://media.finedinemenu.com/MawZBMZR_/a7ac682c-107c-42f3-b7ca-44a8c6967562.jpeg,true,true,false,
674ca63d55bbefc1372fb3f0,stuffed-crispy-chicken,Stuffed Crispy Chicken,Stuffed Crispy Chicken,,,5500,AED,Lunch & Dinner / Main Quotes,674ca5dd1cf886ae40b2cfa0,,true,true,false,
674ca30ca17564e11320362e,coleslaw-chicken-wrap,Coleslaw Chicken Wrap,Coleslaw Chicken Wrap,,,4000,AED,Lunch & Dinner / Sandwiches,674ca28a71e1e924975abe51,https://media.finedinemenu.com/MawZBMZR_/aa825e32-1ab2-4e66-963f-246f385e5727.jpeg,true,true,false,
69b1e2092537467a1dd4eee2,choco-berry-cake,Choco Berry Cake,Choco Berry Cake,,,4600,AED,Dessert,674ca73df0cee26ce2968444,https://media.finedinemenu.com/MawZBMZR_/06803d10-2465-49b0-b7c6-4a446175aa21.jpeg,true,true,false,new|special
6777ec5cfd80f761d8e72c34,arabic-coffee,Arabic Coffee,Arabic Coffee,,,2200,AED,Speciality Coffee / Arabic Coffee,6777ebc5034b73500927f87f,,true,true,false,
674cb71882fe974dd29f41cd,americano,Americano,أميريكانو,,,2000,AED,Speciality Coffee / Black Coffee,674cb70752f895a5b6f31b7b,,true,true,false,
674cbc763d079540e046eabc,macchiatto,Macchiatto,Macchiatto,,,2000,AED,Speciality Coffee / Milk-base Coffee,674cb8d582fe974dd29f637b,,true,true,false,
67607d2181b9637308eee4c0,mocha-frappe,Mocha Frappe,Mocha Frappe,,,3700,AED,Speciality Coffee / Frappes,676077d8623402209d07f27c,https://media.finedinemenu.com/MawZBMZR_/0038d261-0d3f-40c5-991c-e4e3fe097d49.jpeg,true,true,false,
674cb3a082fe974dd29efe93,blueberry-mojito,Blueberry Mojito,Blueberry Mojito,,,3000,AED,Beverages / Mocktails,674cb36c71e1e924975c4744,https://media.finedinemenu.com/MawZBMZR_/03827539-456b-4e59-8002-89eb171561a6.jpeg,true,true,false,
674cb431a0dce0a0eed1b444,frosty-strawberry,Frosty Strawberry,Frosty Strawberry,,,3500,AED,Beverages / Frosty Sips,674cb3f38be796a22d747cde,https://media.finedinemenu.com/MawZBMZR_/dfdee89a-fef6-4870-bbe3-e2aa051d63f5.jpeg,true,true,false,
674caff11cf886ae40b3ba7b,avocado-honey-smoothie,Avocado honey Smoothie,Avocado honey Smoothie,,,3900,AED,Beverages / Smoothie,674caf7052f895a5b6f27bfb,https://media.finedinemenu.com/MawZBMZR_/c4371e62-c56f-42b1-af0a-22c744ec9650.jpeg,true,true,false,
674cb66352f895a5b6f30b15,strawberry-milkshake,Strawberry Milkshake,Strawberry Milkshake,,,3500,AED,Beverages / Milkshake,674cb63352f895a5b6f307d2,https://media.finedinemenu.com/MawZBMZR_/f80d0ea2-7f09-47af-9114-d2500bc364b0.jpeg,true,true,false,
674cb29e3d079540e0463b52,fresh-lemon-mint,Fresh lemon Mint,Fresh lemon Mint,,,2500,AED,Beverages / Fresh Juice,674cb009a17564e113216a7f,https://media.finedinemenu.com/MawZBMZR_/d0f857c8-d1d5-44e7-ace2-aeb0324b3212.jpeg,true,true,false,
674d7f91372f00d7a43e099e,cola-diet,Cola Diet,كولا دايت,,,1200,AED,Beverages / Softdrinks,674d7f3c8104a31225bf1012,,true,true,false,
674d7d7971e1e9249763584c,san-peligrino-sparkling-water-250ml,San Peligrino Sparkling Water 250ml,San Peligrino Sparkling Water 250ml,,,1000,AED,Beverages / Water,674d7c8b82fe974dd2a62b58,,true,true,false,
6a6f92480477fbbbdb392e69,berry-bloom-colombia,Berry Bloom - COLOMBIA,Berry Bloom - COLOMBIA,,,4800,AED,New V60 Beans,69614b90e5ccb143a4cd02b2,https://media.finedinemenu.com/MawZBMZR_/c23da780-dd28-4f20-b17c-cbf6e430638c.jpeg,true,true,false,
6a79eb578ba67c87a36492ed,dirty-cereal-espresso,Dirty Cereal Espresso,لاتيه المميز لكوتس,,,3500,AED,Signature,674cb57582fe974dd29f2197,,true,true,false,popular
